Product,MONTH,F/P/C,PRICE,Maintenance,Maint. Vol. Scan,STRIKE,Underlying,Underlying_price
Corn,19-Sep,C,22,1000,0.28,375,19-Sep,392.7
Corn,19-Sep,C,19,1000,0.28,380,19-Sep,392.7
Corn,19-Sep,C,16,1000,0.28,385,19-Sep,392.7
Corn,19-Sep,C,14,1000,0.28,390,19-Sep,392.7
Corn,19-Sep,C,12,1000,0.28,395,19-Sep,392.7
Corn,19-Sep,C,10,1000,0.28,400,19-Sep,392.7
Corn,19-Sep,C,8,1000,0.28,405,19-Sep,392.7
Corn,19-Sep,C,7,1000,0.28,410,19-Sep,392.7
Corn,19-Sep,C,6,1000,0.28,415,19-Sep,392.7
Corn,19-Sep,C,5,1000,0.28,420,19-Sep,392.7
Corn,19-Sep,P,5,1000,0.28,375,19-Sep,392.7
Corn,19-Sep,P,6,1000,0.28,380,19-Sep,392.7
Corn,19-Sep,P,8,1000,0.28,385,19-Sep,392.7
Corn,19-Sep,P,11,1000,0.28,390,19-Sep,392.7
Corn,19-Sep,P,14,1000,0.28,395,19-Sep,392.7
Corn,19-Sep,P,17,1000,0.24,400,19-Sep,392.7
Corn,19-Sep,P,21,1000,0.24,405,19-Sep,392.7
Corn,19-Sep,P,24,1000,0.24,410,19-Sep,392.7
Corn,19-Sep,P,28,1000,0.24,415,19-Sep,392.7
Corn,19-Sep,P,32,1000,0.24,420,19-Sep,392.7
Corn,19-Oct,C,17,1000,0.24,400,19-Dec,402.5
Corn,19-Oct,C,15,1000,0.24,405,19-Dec,402.5
Corn,19-Oct,C,14,1000,0.24,410,19-Dec,402.5
Corn,19-Oct,C,12,1000,0.24,415,19-Dec,402.5
Corn,19-Oct,C,11,1000,0.24,420,19-Dec,402.5
Corn,19-Oct,C,10,1000,0.24,425,19-Dec,402.5
Corn,19-Oct,C,8,1000,0.24,430,19-Dec,402.5
Corn,19-Oct,P,15,1000,0.24,400,19-Dec,402.5
Corn,19-Oct,P,14,1000,0.24,405,19-Dec,402.5
Corn,19-Oct,P,12,1000,0.24,410,19-Dec,402.5
Corn,19-Oct,P,11,1000,0.24,415,19-Dec,402.5
Corn,19-Oct,P,10,1000,0.24,420,19-Dec,402.5
Corn,19-Oct,P,8,1000,0.24,425,19-Dec,402.5
Corn,19-Oct,P,36,1000,0.24,430,19-Dec,402.5
